"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Vi FASTag Recharge Online | Instant Recharge","3","0","Verify Heading elements are present","0"
"0","","0","Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India","3","0","Verify Button elements are present","0"
"0","","3","Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india","0","0","Verify Button elements are present","0"
"0","","0","Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments","3","0","Verify Form elements are present","0"
"0","","0","Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process","3","0","Verify page loads for regression","0"
"0","","0","Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number","3","0","Verify Heading elements are present","0"
"0","","3","Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India","0","0","Verify Link elements are present","0"
"0","","0","VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi","3","0","Verify Button elements are present","0"
"0","","3","Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi)","0","0","Verify Link elements are present","0"
"0","","0","Vi FASTag Recharge Online | Instant Recharge","3","0","Verify Input elements are present","0"
"0","","3","WiFi Calling on Vi: Choose VoWiFi for Better Voice Quality","0","0","Verify Menu elements are present","0"
"0","","3","Privacy Policy | Vi","0","0","Verify Link elements are present","0"
"0","","3","Vi FASTag Recharge Online | Instant Recharge","0","0","Verify Menu elements are present","0"
"0","","3","Check Vi SIM Status Online | Track Your Connection & Orders","0","0","Verify Link elements are present","0"
"0","","0","How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India","3","0","Verify Form elements are present","0"
"0","","0","Vi Electricity Bill Payment | Quick & Secure Online Payment","3","0","Verify Button elements are present","0"
"0","","0","WiFi Calling on Vi: Choose VoWiFi for Better Voice Quality","3","0","Verify page loads for regression","0"
"0","","3","Vi Blog | Get Latest News & Information on Vi Network","0","0","Verify Heading elements are present","0"
"0","","3","About Vi - India's Largest Telecom Company","0","0","Verify Link elements are present","0"
"0","","0","Vi Product & Services FAQs, Frequently Asked Questions","3","0","Verify Input elements are present","0"
"0","","3","Pay for Insurance Online with Vi – Fast & Secure Payment","0","0","Verify Link elements are present","0"
"0","","3","How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India","0","0","Verify Link elements are present","0"
"0","","0","Register for Postpaid EBill Online | Vi","3","0","Verify Form elements are present","0"
"0","","0","Vodafone Idea News (Vi): Latest Vi News, Press Releases &amp; Updates","3","0","Verify Link elements are present","0"
"1","","0","Enjoy Netflix Subscription Plans with Vi at No Extra Cost","2","0","Verify Form elements are present","0"
"0","","0","Get your Vi Sim Online and Enjoy Free Delivery | Choose Your Plan Today","3","0","Verify page loads for regression","0"
"0","","0","Vi Loan EMI Payment | Quick & Secure Online Payment","3","0","Verify Button elements are present","0"
"0","","3","Register for Postpaid EBill Online | Vi","0","0","Verify Link elements are present","0"
"0","","0","Vodafone Idea News (Vi): Latest Vi News, Press Releases &amp; Updates","3","0","Verify Heading elements are present","0"
"0","","0","Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India","3","0","Verify Input elements are present","0"
"0","","3","Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud","0","0","Verify Heading elements are present","0"
"0","","0","SonyLIV Subscription Plans with Vi | Watch Movies, Shows & Sports","3","0","Verify Button elements are present","0"
"0","","0","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","3","0","Verify Input elements are present","0"
"0","","0","How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India","3","0","Verify page loads for regression","0"
"0","","0","About Vi - India's Largest Telecom Company","3","0","Verify page loads for regression","0"
"0","","3","Plan Selection Page","0","0","Verify Link elements are present","0"
"0","","0","Pay for Insurance Online with Vi – Fast & Secure Payment","3","0","Verify Button elements are present","0"
"0","","0","Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India","3","0","Verify Input elements are present","0"
"0","","3","Vi Official Videos: Tips, Products & Updates","0","0","Verify Menu elements are present","0"
"0","","0","Explore the Best Prepaid Plans – Top Prepaid Recharge Options | Vi India","3","0","Verify page loads for regression","0"
"0","","0","VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi","3","0","Verify page loads for regression","0"
"0","","0","Vi Max Family Plans | Best Postpaid Plan for Family | Postpaid Family Plans","3","0","Verify Link elements are present","0"
"0","","3","Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud","0","0","Verify Menu elements are present","0"
"0","","0","Vi Official Videos: Tips, Products & Updates","3","0","Verify Heading elements are present","0"
"0","","0","Pay for Insurance Online with Vi – Fast & Secure Payment","3","0","Verify Input elements are present","0"
"0","","0","Explore the Best Prepaid Plans – Top Prepaid Recharge Options | Vi India","3","0","Verify Button elements are present","0"
"0","","3","About Vi - India's Largest Telecom Company","0","0","Verify Menu elements are present","0"
"0","","3","Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim","0","0","Verify Menu elements are present","0"
"0","","0","Vi Data Packs - Mobile Data Recharge Plans | Vi India","3","0","Verify Input elements are present","0"
"0","","0","Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud","3","0","Verify page loads for regression","0"
"0","","3","Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process","0","0","Verify Menu elements are present","0"
"0","","3","Vi Data Packs - Mobile Data Recharge Plans | Vi India","0","0","Verify Menu elements are present","0"
"1","","0","Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More","2","0","Verify Input elements are present","0"
"0","","3","Privacy Policy | Vi","0","0","Verify Menu elements are present","0"
"0","","0","Explore the Best Prepaid Plans – Top Prepaid Recharge Options | Vi India","3","0","Verify Input elements are present","0"
"0","","3","Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi","0","0","Verify Link elements are present","0"
"0","","3","Pay Vi Postpaid Bill Online - Quick & Secure | Vi India","0","0","Verify Menu elements are present","0"
"0","","0","Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi","3","0","Verify page loads for regression","0"
"0","","0","Vi Utility Bill Payments | Water, Gas, Electricity & More","3","0","Verify Button elements are present","0"
"0","","3","Vi Max Family Plans | Best Postpaid Plan for Family | Postpaid Family Plans","0","0","Verify Button elements are present","0"
"0","","3","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","0","0","Verify Menu elements are present","0"
"0","","0","Plan Selection Page","3","0","Verify Input elements are present","0"
"0","","3","Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi","0","0","Verify Menu elements are present","0"
"0","","0","Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India","3","0","Verify Button elements are present","0"
"0","","0","Pay for Insurance Online with Vi – Fast & Secure Payment","3","0","Verify page loads for regression","0"
"0","","0","Investors Support Information Of Vi (Vodafone Idea Limited)","3","0","Verify page loads for regression","0"
"0","","3","Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number","0","0","Verify Menu elements are present","0"
"0","","3","Get your Vi Sim Online and Enjoy Free Delivery | Choose Your Plan Today","0","0","Verify Heading elements are present","0"
"0","","0","Privacy Policy | Vi","3","0","Verify Heading elements are present","0"
"0","","3","Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge","0","0","Verify Link elements are present","0"
"0","","3","Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim","0","0","Verify Input elements are present","0"
"0","","3","Explore the Best Prepaid Plans – Top Prepaid Recharge Options | Vi India","0","0","Verify Link elements are present","0"
"0","","3","Vodafone Idea Foundation – An initiative to change India with Mobile Technology","0","0","Verify Menu elements are present","0"
"0","","0","Vi Loan EMI Payment | Quick & Secure Online Payment","3","0","Verify Heading elements are present","0"
"0","","0","Vi Utility Bill Payments | Water, Gas, Electricity & More","3","0","Verify Heading elements are present","0"
"0","","0","How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India","3","0","Verify Input elements are present","0"
"0","","3","Vi Loan EMI Payment | Quick & Secure Online Payment","0","0","Verify Menu elements are present","0"
"0","","0","Vi Electricity Bill Payment | Quick & Secure Online Payment","3","0","Verify Heading elements are present","0"
"0","","3","Plan Selection Page","0","0","Verify Button elements are present","0"
"0","","0","Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today","3","0","Verify Form elements are present","0"
"0","","0","Get your Vi Sim Online and Enjoy Free Delivery | Choose Your Plan Today","3","0","Verify Button elements are present","0"
"0","","3","Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud","0","0","Verify Link elements are present","0"
"0","","0","Privacy Policy | Vi","3","0","Verify Form elements are present","0"
"0","","0","Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi)","3","0","Verify Heading elements are present","0"
"0","","3","Vi Electricity Bill Payment | Quick & Secure Online Payment","0","0","Verify Link elements are present","0"
"0","","0","Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India","3","0","Verify Form elements are present","0"
"0","","0","Privacy Policy | Vi","3","0","Verify page loads for regression","0"
"0","","3","Check Vi SIM Status Online | Track Your Connection & Orders","0","0","Verify Input elements are present","0"
"0","","0","Vi Product & Services FAQs, Frequently Asked Questions","3","0","Verify Button elements are present","0"
"0","","0","Vi Giganet: A smart network powered with AI from Vi","3","0","Verify page loads for regression","0"
"0","","0","Vi Product & Services FAQs, Frequently Asked Questions","3","0","Verify Heading elements are present","0"
"0","","0","Vi Max Family Plans | Best Postpaid Plan for Family | Postpaid Family Plans","3","0","Verify page loads for regression","0"
"0","","0","Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim","3","0","Verify page loads for regression","0"
"0","","3","Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today","0","0","Verify Menu elements are present","0"
"0","","0","How to Activate Vi eSIM Card – Easy Online Setup & Steps | Vi India","3","0","Verify Heading elements are present","0"
"0","","3","VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi","0","0","Verify Menu elements are present","0"
"0","","0","All OTT in One App - OTT Subscription Plans | Vi Movies & TV","3","0","Verify page loads for regression","0"
"0","","3","Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud","0","0","Verify Input elements are present","0"
"0","","0","Vi Product & Services FAQs, Frequently Asked Questions","3","0","Verify page loads for regression","0"
"0","","0","Vi 5G Network in India – Explore Plans, SIM & Coverage Map | Vi India","3","0","Verify Heading elements are present","0"
"0","","3","All OTT in One App - OTT Subscription Plans | Vi Movies & TV","0","0","Verify Menu elements are present","0"
"0","","0","Investors Support Information Of Vi (Vodafone Idea Limited)","3","0","Verify Link elements are present","0"
"0","","0","Buy a New Vi 4g SIM Card Online and Get a Free Delivery","3","0","Verify page loads for regression","0"
"0","","0","Register for Postpaid EBill Online | Vi","3","0","Verify Button elements are present","0"
"0","","3","Explore the Best Prepaid Plans – Top Prepaid Recharge Options | Vi India","0","0","Verify Menu elements are present","0"
"0","","0","Vi Data Packs - Mobile Data Recharge Plans | Vi India","3","0","Verify page loads for regression","0"
"0","","0","Investors Support Information Of Vi (Vodafone Idea Limited)","3","0","Verify Heading elements are present","0"
"0","","3","Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number","0","0","Verify Link elements are present","0"
"1","","2","Enjoy Netflix Subscription Plans with Vi at No Extra Cost","0","0","Verify Heading elements are present","0"
"0","","0","Vi Official Videos: Tips, Products & Updates","3","0","Verify Input elements are present","0"
"0","","3","Vi Giganet: A smart network powered with AI from Vi","0","0","Verify Heading elements are present","0"
"0","","0","Vi Prepaid Talktime and Top-Up Plans| Easy Online Mobile Recharge","3","0","Verify Form elements are present","0"
"0","","0","Vodafone Idea Foundation – An initiative to change India with Mobile Technology","3","0","Verify Heading elements are present","0"
"0","","0","Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India","3","0","Verify page loads for regression","0"
"0","","3","Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India","0","0","Verify Link elements are present","0"
"0","","0","Pay for Insurance Online with Vi – Fast & Secure Payment","3","0","Verify Heading elements are present","0"
"0","","0","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","3","0","Verify Button elements are present","0"
"0","","0","All OTT in One App - OTT Subscription Plans | Vi Movies & TV","3","0","Verify Button elements are present","0"
"0","","3","Check Vi SIM Status Online | Track Your Connection & Orders","0","0","Verify Menu elements are present","0"
"0","","0","Vi Electricity Bill Payment | Quick & Secure Online Payment","3","0","Verify Form elements are present","0"
"0","","0","Vi Business - B2B: Mobility, Connectivity, Security, IoT & Cloud","3","0","Verify Button elements are present","0"
"0","","0","Vi Loan EMI Payment | Quick & Secure Online Payment","3","0","Verify page loads for regression","0"
"0","","0","VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi","3","0","Verify Form elements are present","0"
"1","","2","Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments","0","0","Verify Link elements are present","0"
"0","","3","VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi","0","0","Verify Heading elements are present","0"
"0","","0","WiFi Calling on Vi: Choose VoWiFi for Better Voice Quality","3","0","Verify Heading elements are present","0"
"0","","0","Vi (Vodafone Idea) Customer Care Number | Vi Complaint & Helpline Number","3","0","Verify page loads for regression","0"
"0","","3","Vi Giganet: A smart network powered with AI from Vi","0","0","Verify Menu elements are present","0"
"0","","0","Vi Electricity Bill Payment | Quick & Secure Online Payment","3","0","Verify Input elements are present","0"
"0","","0","Vi Official Videos: Tips, Products & Updates","3","0","Verify Button elements are present","0"
"0","","0","Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments","3","0","Verify Input elements are present","0"
"0","","0","Plan Selection Page","3","0","Verify page loads for regression","0"
"0","","0","Pay Vi Postpaid Bill Online - Quick & Secure | Vi India","3","0","Verify Input elements are present","0"
"0","","3","SonyLIV Subscription Plans with Vi | Watch Movies, Shows & Sports","0","0","Verify Link elements are present","0"
"0","","0","Get Free Night Data & Binge Your Shows with Hero Unlimited | Vi-5G","3","0","Verify page loads for regression","0"
"0","","0","Privacy Policy | Vi","3","0","Verify Input elements are present","0"
"0","","0","Enjoy Netflix Subscription Plans with Vi at No Extra Cost","3","0","Verify Table elements are present","0"
"1","","2","Vi Max Family Plans | Best Postpaid Plan for Family | Postpaid Family Plans","0","0","Verify Heading elements are present","0"
"0","","0","Vi Official Videos: Tips, Products & Updates","3","0","Verify page loads for regression","0"
"0","","3","Vi Utility Bill Payments | Water, Gas, Electricity & More","0","0","Verify Link elements are present","0"
"0","","3","Investors Support Information Of Vi (Vodafone Idea Limited)","0","0","Verify Menu elements are present","0"
"0","","3","Get Vi New Postpaid SIM Card Online – Buy Mobile SIM Card In india","0","0","Verify Heading elements are present","0"
"0","","3","All OTT in One App - OTT Subscription Plans | Vi Movies & TV","0","0","Verify Link elements are present","0"
"0","","0","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","3","0","Verify Heading elements are present","0"
"0","","3","Buy a New Vi 4g SIM Card Online and Get a Free Delivery","0","0","Verify Button elements are present","0"
"0","","0","Vi Postpaid Plans with Unlimited Calls & Data | Vi India","3","0","Verify Form elements are present","0"
"0","","3","Vi FASTag Recharge Online | Instant Recharge","0","0","Verify Link elements are present","0"
"0","","3","WiFi Calling on Vi: Choose VoWiFi for Better Voice Quality","0","0","Verify Link elements are present","0"
"0","","0","Pay for Insurance Online with Vi – Fast & Secure Payment","3","0","Verify Form elements are present","0"
"0","","3","Pay Vi Postpaid Bill Online - Quick & Secure | Vi India","0","0","Verify Link elements are present","0"
"0","","0","Credit Card Bill Payment – Quick & Secure Online Bill Payments | Vi","3","0","Verify Heading elements are present","0"
"0","","0","Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More","3","0","Verify page loads for regression","0"
"0","","3","Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India","0","0","Verify Menu elements are present","0"
"0","","0","Vi Postpaid Auto Bill Payment - Setup & Manage Automatic Payments","3","0","Verify page loads for regression","0"
"0","","0","VoLTE | 4G VoLTE Calls - (Voice Over LTE) for HD Voice Calls | Vi","3","0","Verify Input elements are present","0"
"0","","0","Vi Unlimited Data, Calls & Internet Plans – Choose Vi Unlimited Plans Today","3","0","Verify Heading elements are present","0"
"0","","0","Vi Data Packs - Mobile Data Recharge Plans | Vi India","3","0","Verify Button elements are present","0"
"0","","0","Privacy Policy | Vi","3","0","Verify Button elements are present","0"
"0","","3","Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim","0","0","Verify Link elements are present","0"
"0","","3","Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process","0","0","Verify Heading elements are present","0"
"0","","3","Register for Postpaid EBill Online | Vi","0","0","Verify Menu elements are present","0"
"0","","3","Vi Product & Services FAQs, Frequently Asked Questions","0","0","Verify Menu elements are present","0"
"0","","0","Pay Vi Postpaid Bill Online - Quick & Secure | Vi India","3","0","Verify Heading elements are present","0"
"0","","3","Vi (Vodafone Idea) Careers | Explore Career Opportunities at Vodafone Idea (Vi)","0","0","Verify Menu elements are present","0"
"0","","3","Vi Giganet: A smart network powered with AI from Vi","0","0","Verify Link elements are present","0"
"0","","3","SonyLIV Subscription Plans with Vi | Watch Movies, Shows & Sports","0","0","Verify Menu elements are present","0"
"0","","0","All OTT in One App - OTT Subscription Plans | Vi Movies & TV","3","0","Verify Input elements are present","0"
"0","","3","Vi Max Family Plans | Best Postpaid Plan for Family | Postpaid Family Plans","0","0","Verify Input elements are present","0"
"0","","0","SonyLIV Subscription Plans with Vi | Watch Movies, Shows & Sports","3","0","Verify Heading elements are present","0"
"0","","3","Vi Blog | Get Latest News & Information on Vi Network","0","0","Verify Button elements are present","0"
"0","","0","Enjoy Netflix Subscription Plans with Vi at No Extra Cost","3","0","Verify Button elements are present","0"
"0","","0","Best Vi SMS Packs and SMS Plans for Prepaid Recharge|Vi India","3","0","Verify Form elements are present","0"
"0","","3","Port SIM Number to Vi | Enjoy Vi Benefits with Easy MNP process","0","0","Verify Button elements are present","0"
"0","","0","Vi International Roaming Packs (2026) - Stay Connected Abroad | Vi India","3","0","Verify Input elements are present","0"
"0","","0","Vodafone Idea News (Vi): Latest Vi News, Press Releases &amp; Updates","3","0","Verify Input elements are present","0"
"0","","3","Buy Fancy Numbers Online - Choose Premium VIP Number or Free Options |Vi India","0","0","Verify Button elements are present","0"
"0","","3","Get a New Vi Prepaid SIM Card in 3 Simple Steps - Buy New Sim","0","0","Verify Heading elements are present","0"
"1","","0","Vi (Vodafone Idea) - Vi Max Postpaid | Prepaid | Vi Games & More","2","0","Verify Button elements are present","0"
"0","","3","Online Mobile Recharge - Best Prepaid Plans & Top-Ups | Vi India","0","0","Verify Heading elements are present","0"
